	key	val
516	Q01581_tran	HMGCS1
517	Q9NXH9_tran	TRMT1
518	P31942_tran	HNRNPH3
519	Q13011_tran	ECH1
520	Q68EM7_tran	ARHGAP17
521	P46379_tran	BAG6
522	P62136_tran	PPP1CA
523	P29353_tran	SHC1
524	Q9Y3A6_tran	TMED5
525	Q15029_tran	EFTUD2
526	P62913_tran	RPL11
527	Q9BXS1_tran	IDI2
528	Q99873_tran	Q99873_tran
529	P43304_tran	GPD2
530	P50213_tran	IDH3A
531	Q9UHV9_tran	PFDN2
532	P11387_tran	TOP1
533	Q9NX00_tran	TMEM160
534	Q8WYA6_tran	CTNNBL1
535	O75534_tran	CSDE1
536	Q96K76_tran	USP47
537	Q9HA77_tran	CARS2
538	Q15181_tran	PPA1
539	Q10567_tran	AP1B1
540	P40763_tran	STAT3
541	P05141_tran	SLC25A5
542	P49720_tran	PSMB3
543	Q7L5N1_tran	COPS6
544	P31946_tran	YWHAB
545	Q9UHD9_tran	UBQLN2
546	Q14011_tran	CIRBP
547	P62191_tran	PSMC1
548	O95340_tran	PAPSS2
549	O95782_tran	AP2A1
550	P13798_tran	APEH
551	Q8N5K1_tran	CISD2
552	Q15691_tran	MAPRE1
553	Q5JVF3_tran	PCID2
554	O94832_tran	MYO1D
555	O43676_tran	NDUFB3
556	Q01974_tran	ROR2
557	P04040_tran	CAT
558	Q8N8S7_tran	ENAH
559	Q99471_tran	PFDN5
560	Q1KMD3_tran	HNRNPUL2
561	P00441_tran	SOD1
562	Q5T4S7_tran	UBR4
563	P00414_tran	COX3
564	Q9BXW7_tran	CECR5_ HDHD5
565	Q8IVT2_tran	C19orf21_ MISP
566	Q13423_tran	NNT
567	Q16537_tran	PPP2R5E
568	P33993_tran	MCM7
569	O43390_tran	HNRNPR
570	P11802_tran	CDK4
571	Q9Y2S7_tran	POLDIP2
572	Q8NAM6_tran	ZSCAN4
573	P24539_tran	ATP5F1
574	P06396_tran	GSN
575	P78346_tran	RPP30
576	P12429_tran	ANXA3
577	O00273_tran	DFFA
578	Q8TED0_tran	UTP15
579	Q9UDW1_tran	UQCR10
580	Q13045_tran	FLII
581	P14209_tran	CD99
582	Q12996_tran	CSTF3
583	P54920_tran	NAPA
584	Q13247_tran	SRSF6
585	P24390_tran	KDELR1
586	P09601_tran	HMOX1
587	P19971_tran	TYMP_ SCO2
588	Q13618_tran	CUL3
589	O94979_tran	SEC31A
590	Q9UM00_tran	TMCO1
591	Q10570_tran	CPSF1
592	Q8TDN6_tran	BRIX1
593	Q13573_tran	SNW1
594	Q9NP61_tran	ARFGAP3
595	P61962_tran	DCAF7
596	Q08257_tran	CRYZ
597	Q6P996_tran	PDXDC1_ LOC102724985
598	Q9BZE4_tran	GTPBP4
599	Q16527_tran	CSRP2
600	P06865_tran	HEXA
601	O95163_tran	IKBKAP_ ELP1
602	Q99614_tran	TTC1
603	Q96K17_tran	BTF3L4
604	P61160_tran	ACTR2
605	O15145_tran	ARPC3
606	Q49A26_tran	GLYR1
607	Q9Y2R9_tran	MRPS7
608	Q96HE7_tran	ERO1L_ ERO1A
609	P50851_tran	LRBA
610	Q9H0U9_tran	TSPYL1
611	P17152_tran	TMEM11
612	Q9HC38_tran	GLOD4
613	P61158_tran	ACTR3
614	Q15392_tran	DHCR24
615	O43660_tran	PLRG1
616	P61923_tran	COPZ1
617	Q96CT7_tran	CCDC124
618	P01034_tran	CST3
619	P55786_tran	NPEPPS
620	P49773_tran	HINT1
621	P06493_tran	CDK1
622	O14975_tran	SLC27A2
623	Q01081_tran	U2AF1_ LOC102724594_ U2AF1L5
624	Q9Y605_tran	MRFAP1
625	Q9Y5Y5_tran	PEX16
626	P29401_tran	TKT
627	P49748_tran	ACADVL
628	O60506_tran	SYNCRIP
629	Q92890_tran	UFD1L_ UFD1
630	Q92973_tran	TNPO1
631	P54727_tran	RAD23B
632	Q96GQ7_tran	DDX27
633	Q14240_tran	EIF4A2
634	P12955_tran	PEPD
635	P60891_tran	PRPS1
636	P20290_tran	BTF3
637	Q9H0X4_tran	ITFG3_ FAM234A
638	P09960_tran	LTA4H
639	Q96KB5_tran	PBK
640	Q9H3K6_tran	BOLA2B_ BOLA2_ LOC107984053
641	Q9NXR7_tran	BRE_ BABAM2
642	Q9H2P0_tran	ADNP
643	O95831_tran	AIFM1
644	Q9BPW8_tran	NIPSNAP1
645	Q15185_tran	PTGES3
646	Q5J8M3_tran	EMC4
647	P04150_tran	NR3C1
648	P50416_tran	CPT1A
649	Q16740_tran	CLPP
650	P50995_tran	ANXA11
651	P43121_tran	MCAM
652	Q5T9L3_tran	WLS
653	Q9UGI8_tran	TES
654	Q9BZZ5_tran	API5
655	Q02952_tran	AKAP12
656	Q8N766_tran	EMC1
657	Q92522_tran	H1FX
658	Q96HS1_tran	PGAM5
659	Q15031_tran	LARS2
660	Q15785_tran	TOMM34
661	Q7Z7H5_tran	TMED4
662	Q9Y305_tran	ACOT9
663	O75496_tran	GMNN
664	P52907_tran	CAPZA1
665	Q8WUM4_tran	PDCD6IP
666	P35269_tran	GTF2F1
667	P56134_tran	ATP5J2
668	P50583_tran	NUDT2
669	Q9NQW7_tran	XPNPEP1
670	Q9Y624_tran	F11R
671	O95757_tran	HSPA4L
672	Q15717_tran	ELAVL1
673	Q92900_tran	UPF1
674	P82970_tran	HMGN5
675	Q9H3K2_tran	GHITM
676	A6NDG6_tran	PGP
677	Q13557_tran	CAMK2D
678	Q6YN16_tran	HSDL2
679	P26196_tran	DDX6
680	Q15555_tran	MAPRE2
681	Q8NDH3_tran	NPEPL1
682	P30837_tran	ALDH1B1
683	P36776_tran	LONP1
684	Q4G176_tran	ACSF3
685	O43678_tran	NDUFA2
686	P45877_tran	PPIC
687	Q9NRX5_tran	SERINC1
688	Q9BT78_tran	COPS4
689	Q9NTZ6_tran	RBM12
690	P51665_tran	PSMD7
691	P27449_tran	ATP6V0C
692	O15382_tran	BCAT2
693	P62280_tran	RPS11
694	P62854_tran	RPS26_ LOC101929876_ RPS26P25
695	P61353_tran	RPL27
696	P61916_tran	NPC2
697	O60664_tran	PLIN3
698	P99999_tran	CYCS
699	Q02809_tran	PLOD1
