Control_10h	Control_24h	Control_2h	Control_6h	Virus_10h	Virus_24h	Virus_2h	Virus_6h	Contrib.Control_10h	Contrib.Control_24h	Contrib.Control_2h	Contrib.Control_6h	Contrib.Virus_10h	Contrib.Virus_24h	Contrib.Virus_2h	Contrib.Virus_6h	Contrib	GroupContrib	color	importance
TTR	0.358070449207401	0.0978972700362236	0.902602727780541	1.15601218012878	-0.671423481900187	-2.03411071356813	0.218177458442881	0.477873448263549	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_6h	#009E73	0.043431567913321
HNRNPC	-0.2657782285468	-0.883647775218388	-0.314273088753444	0.0908268227573467	-0.0173898615861309	1.48314632186272	-0.189017821433431	-0.180313787432285	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0433666982406529
ST13	-0.0451277799969756	0.0827071360934664	-0.498190201190586	-0.0208511503081754	-0.429512555175035	2.5884241255318	-0.694653125789144	-0.45608788460612	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0433426587003281
TSPAN8	0.733419016579041	-0.00511746024528731	0.0511625048330663	0.970402979731072	0.271901669071523	-2.2937694380504	-0.337206152275567	0.319258041207774	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_6h	#009E73	0.0432696384735121
NAMPT	0.0590768281910013	-0.102062784285641	-0.488005934462579	-0.209631995975491	-0.203519173311244	1.63543198719753	-0.123330684086691	-0.692080462421245	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0432486604886004
FSCN1	-0.478869851633381	0.244944826061799	-1.09509325053275	-0.0819229192072	-0.406475667668632	2.4667764847487	0.182306477524555	-0.547900665075395	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.043228050513617
PPAT	-0.475033809325831	-0.472528512672336	-0.634769641250502	-0.130797260493991	0.0549516384288413	1.87663246453657	0.095269449498817	-0.193797061655015	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0431760762637418
FMR1	-0.122491055208058	0.542176168502644	-0.376668797286833	-0.13302482683495	-0.497026494863885	2.19146696031522	-0.447205421998139	-0.743399211057278	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0431322735905092
ALDH1A1	0.137454419430552	1.18840830009729	0.491324843570015	0.742811821179965	-0.908265569167645	-1.97514642299621	0.328977606729557	0.0233638967208156	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	0.0429423082287389
PSMC4	0.199353064851399	-0.595573129872526	-0.320793319773548	-0.381540038598427	-0.729782034284899	1.99954635474102	-1.06595443117134	0.0564704301693902	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0428527215433863
