Control_10h	Control_24h	Control_2h	Control_6h	Virus_10h	Virus_24h	Virus_2h	Virus_6h	Contrib.Control_10h	Contrib.Control_24h	Contrib.Control_2h	Contrib.Control_6h	Contrib.Virus_10h	Contrib.Virus_24h	Contrib.Virus_2h	Contrib.Virus_6h	Contrib	GroupContrib	color	importance
CTSA	0.440276826879101	1.73865562835021	-0.348896308031621	0.535968023817152	-0.732668808809526	-1.27382850547049	-0.447232855153861	0.0402296737439735	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.116882736662428
TOM1	-0.630283865839162	2.0131315061492	-0.39898827356361	-0.343783416296659	-0.642167280811036	0.0958445880202161	0.296993724961961	-1.13442648996038	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.114485420870637
ANXA4	-0.0502303791219864	2.23517044958038	-0.0303775570826531	0.085230940875378	-0.370044889648632	-1.65044263204278	-0.0705205211690897	-0.171149112871335	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.114238284973467
PICALM	-0.450297919543228	2.35361939637698	-0.224660119663869	-0.880560525405159	-0.118227815542683	0.481850840993041	0.00462619993837471	-1.16889658078868	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.111258749283486
ECHS1	0.186185807805606	1.914077992718	-0.57540114076284	-1.09821840066747	-0.631373589537438	1.08299938354612	-0.491500813396188	-0.465047424010704	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.110598957740972
HIST1H1B	-0.448246706535173	2.66296504306434	-0.227890750821954	-0.279457898586284	-0.408316818024957	0.240010126889838	-0.159231290316603	-0.88639105306746	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.109735383222991
PRDX3	0.156510746559996	2.2082091578046	-0.664525594307674	-0.388403162757239	-0.943455288060639	-0.526412820027384	0.0967522460047517	0.142002473165003	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.109244620258882
DNAJC7	0.78304644845623	1.85608658438006	-0.96841430307471	-0.854750110010714	-0.429669955567879	0.724486366640993	0.416311804870221	-0.824169134368339	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.108940063799444
CGGBP1	0.979162107543021	1.87360244904017	-0.268774654019872	-0.0238064839764967	-0.0742439221501163	-0.990219940224882	-0.196716199923055	-0.737772783160434	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.108080595188905
NDUFB11	-0.779949116425837	2.24844909939863	-0.408465251420287	0.467688535832021	-1.28492692236884	-0.0324906664689121	-0.0711150835121576	-0.108630040076723	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.103471930667834
