index	name	annotation	Control_10h	Control_24h	Control_2h	Control_6h	Virus_10h	Virus_24h	Virus_2h	Virus_6h	Contrib.Control_10h	Contrib.Control_24h	Contrib.Control_2h	Contrib.Control_6h	Contrib.Virus_10h	Contrib.Virus_24h	Contrib.Virus_2h	Contrib.Virus_6h	Contrib	GroupContrib	color	importance
P46934_Q96PU5			0.17627914472861997	0.944820070437438	-0.175397367031941	0.540355980581565	0.37990218229027706	-2.4301815137280602	0.580605884153322	0.26512324114492897	False	True	False	False	False	False	False	False	False	Control_24h	#F68B33	0.0510086080117119
O95881			-1.38438376481126	-1.07475346197173	1.2340560079966598	0.931038206790578	-0.669722462195157	0.541498976345746	0.24461928626965698	0.19701411469765498	False	False	True	False	False	False	False	False	False	Control_2h	#C2C2C2	0.042851556324695006
Q9BVK2			-1.2396721734480802	-0.9152245597617741	1.67580321257592	0.103601318674174	-0.445459429978357	0.0224205917204808	1.23589380369215	0.117053497372424	False	False	True	False	False	False	False	False	False	Control_2h	#C2C2C2	0.0411566125954367
Q9BZL1			1.00494061696582	0.507941533065136	0.0821331849576243	0.198689665557958	0.381402605951851	-2.4663273159410397	-0.183994666063357	0.322158804517528	True	False	False	False	False	False	False	False	False	Control_10h	#388ECC	0.0381998463618564
P14866			-1.88426747537085	-0.274536746529443	0.9225123501653839	-0.0437360508809125	-0.370110029163682	0.342562759064166	1.48363605289534	-0.306193392255477	False	False	False	False	False	False	True	False	False	Virus_2h	black	0.0302076366240386
P84243			0.212471928169283	-0.226122930013413	0.869736971583746	0.9681157857136742	-0.0487069244259918	-2.39407170800011	0.524937802601986	0.48659354148098605	False	False	False	True	False	False	False	False	False	Control_6h	#009E73	0.0171714681260818
P15328			0.468540662850796	0.650875095875037	0.444677372769735	-2.4724698961622003	0.35875076862745897	0.0486130242145556	0.19214505847057603	0.5068790447649699	False	True	False	False	False	False	False	False	False	Control_24h	#F68B33	0.0160144340896407
O95395			0.45988437568801893	-1.707412046358	-0.654122031412679	0.8694012475686841	0.736334477619838	-0.6795350435300219	-0.348795470466856	1.45329265219568	False	False	False	False	False	False	False	True	False	Virus_6h	#D55E00	0.0151214966567353
Q6NXG1			-0.354492499108614	-0.908367163910677	1.6240373683884701	0.22627213114422898	-1.00781759572655	-0.8938603223638679	0.9130696318025858	0.6744765457464549	False	False	True	False	False	False	False	False	False	Control_2h	#C2C2C2	0.008073667290532759
Q06481_P05067			0.13644652577436098	0.531105278191587	0.785087346782107	0.6657734661001371	-0.6027894353016711	-2.32445863945581	0.497648496408279	0.264812241315742	False	False	True	False	False	False	False	False	False	Control_2h	#C2C2C2	0.007346041509029841
Q9H9B4			-0.392799717879203	-0.30941107551248603	-0.42266649833909703	-0.494655864359036	-0.00657955446445719	2.41898094503732	0.0387101164060363	-0.6039493298327779	False	False	False	False	False	True	False	False	False	Virus_24h	#F0E442	-0.011188917504953998
O60264			-0.6566844033886601	1.87525617839297	0.8301939641136991	-0.985616976259648	-0.434615734333151	-0.0104004704901573	-0.5761776624910121	-0.474570661753848	False	True	False	False	False	False	False	False	False	Control_24h	#F68B33	-0.0151368979867731
H.INV.HIT000292931_P05787			-0.14696790895876902	-0.947618583634604	-0.543612218443922	-0.0170753975053234	-0.104416628921251	2.28380387768352	-0.7732594842627579	-0.42978081358820797	False	False	False	False	False	True	False	False	False	Virus_24h	#F0E442	-0.0173727984676386
Q14573			-0.6611858557340881	-0.155763505979866	-0.442068935457566	-0.4568408474022321	0.245615364480379	2.2682986200453197	-0.231024740966659	-0.583103046966264	False	False	False	False	False	True	False	False	False	Virus_24h	#F0E442	-0.0199036812876483
Q96FZ2			-0.561761125882027	1.9267244743486003	1.00795770559291	0.160649621395468	-0.661846692682855	-0.65400462465593	-0.325390001242717	-0.324677590862328	False	True	False	False	False	False	False	False	False	Control_24h	#F68B33	-0.0235729657271201
O95478			1.2482518508127098	-0.630866984197028	-0.8039833951984671	-0.0949518362092167	1.66645843173691	0.35186035570190793	-1.51546603235021	0.0943353607043551	False	False	False	False	True	False	False	False	False	Virus_10h	#CC79A7	-0.0246894617216215
P30405			-0.36209941355301395	-0.584536414953269	-0.265982849285073	0.0497822954952452	-0.17148613610556	2.49778844351149	-0.6085204315860079	-0.6016248677375029	False	False	False	False	False	True	False	False	False	Virus_24h	#F0E442	-0.0254325909915042
Q8WUM9			0.640813534293117	-0.280576656767498	-1.36901218260665	-0.418222050075965	1.32079252058048	1.09854946222359	-1.18492832862688	0.19953715912873102	False	False	False	False	True	False	False	False	False	Virus_10h	#CC79A7	-0.0266391454422409
P11021			-0.26233623875183604	-0.474527174489026	-0.709230170651743	-0.648882717660004	0.42468121144275106	2.2217881473466203	-0.687870473752409	0.000972485003217451	False	False	False	False	False	True	False	False	False	Virus_24h	#F0E442	-0.030080776319867997
O43169			-0.623656746239484	-0.387721829838417	0.0353317003513672	-0.3961300233731429	-0.41411571840181105	2.2591294270651803	-0.458950684839341	-0.5851271589775361	False	False	False	False	False	True	False	False	False	Virus_24h	#F0E442	-0.0311499133700799
Q01105			-0.572463379801287	-0.5609005132820141	0.256933500631453	-0.43753113419389295	0.15286731919903	2.0747021778100203	-0.45489032668470203	-0.285507686056089	False	False	False	False	False	True	False	False	False	Virus_24h	#F0E442	-0.033006649067864
Q9NRZ9_Q8TE73			-0.318252992870658	2.12020020723274	-0.0967393910346107	-0.741759941478209	-0.20395430588347602	-0.21807827283498998	-0.173707184200637	-0.126236076138265	False	True	False	False	False	False	False	False	False	Control_24h	#F68B33	-0.0334323280499933
P33316			-0.49523930504905	1.82417029677775	0.180142280913084	-1.71753407935009	-0.41234526198883703	0.711941071558662	0.0866718068178325	-0.17585762990827697	False	True	False	False	False	False	False	False	False	Control_24h	#F68B33	-0.0334902703243453
P05783	Keratin		-0.0346403314461796	-0.745463514072253	-0.510757974990692	0.0556204616801259	0.0468937612698828	2.21490842580831	-0.8439638737380101	-0.560833402444576	False	False	False	False	False	True	False	False	False	Virus_24h	#F0E442	-0.0369074421209293
O15397			-0.434392216023368	2.06365336972632	0.172035659310047	-1.3120614875699599	0.108929371638351	0.401866027591696	-0.45053708636252204	-0.41583657382192296	False	True	False	False	False	False	False	False	False	Control_24h	#F68B33	-0.03780663113787
P60709_P0CG38			-0.34326748220046505	-0.49891645999520706	-0.0659584765489298	-0.402028397950231	-0.5754532874732811	2.28086051138706	-0.310420347269426	-0.581335011501145	False	False	False	False	False	True	False	False	False	Virus_24h	#F0E442	-0.0395782842818575
